Team,Division,Number,Player,Position,Height,Goals,Assists,Ds,Turnovers
Dartmouth (Princess Layout),Women's,18,ABIGAIL LEIBOWITZ,,,,,,
Dartmouth (Princess Layout),Women's,21,EVA PETZINGER,,,11,13,,
Dartmouth (Princess Layout),Women's,33,Sarah Colon,,,,,,
Dartmouth (Princess Layout),Women's,42,JAQUILLE JONES,,,,1,,
Dartmouth (Princess Layout),Women's,52,ELLEN PLANE,,"5'9""",,,,
Dartmouth (Princess Layout),Women's,55,JULIANNA WERFFELI,,,5,10,,
Dartmouth (Princess Layout),Women's,81,MAE HARDEBECK,,,,,,
Dartmouth (Princess Layout),Women's,88,REBECCA LEONG,,,3,3,,
Dartmouth (Princess Layout),Women's,99,SOPHIA SCHWARTZ,,,3,,,
Pittsburgh (En Sabah Nur),Men's,0,PETER MCCLOSKEY,,"6'4""",,,,
Pittsburgh (En Sabah Nur),Men's,2,JOSEPH BENDER,,"5'10""",9,4,,
Pittsburgh (En Sabah Nur),Men's,3,PATRICK EARLES,,"6'2""",6,26,,
Pittsburgh (En Sabah Nur),Men's,5,SAUL GRAVES,,,8,2,,
Pittsburgh (En Sabah Nur),Men's,7,RICHARD BOYLE,,"5'9""",,2,,
Pittsburgh (En Sabah Nur),Men's,8,TYLER KUNSA,,,4,16,,
Pittsburgh (En Sabah Nur),Men's,9,CARL MORGENSTERN,,,,,,
Pittsburgh (En Sabah Nur),Men's,10,MAX THORNE,,"5'7""",9,8,,
Pittsburgh (En Sabah Nur),Men's,11,KYLE HARTLEY,,"6'3""",1,,,
Pittsburgh (En Sabah Nur),Men's,12,KEVIN TANG,,"5'8""",,,,
Pittsburgh (En Sabah Nur),Men's,13,ANDREW LEHMBERG,,,2,,,
Pittsburgh (En Sabah Nur),Men's,15,DYLAN BEST,,,4,2,,
Pittsburgh (En Sabah Nur),Men's,16,TRENT DILLON,,"5'11""",6,4,,
Pittsburgh (En Sabah Nur),Men's,17,MATTHEW HANNA,,,1,,,
Pittsburgh (En Sabah Nur),Men's,18,Stephen Shaw,,"6'2""",1,,,
Pittsburgh (En Sabah Nur),Men's,22,CHRISTIAN PITTS,,,12,2,,
Pittsburgh (En Sabah Nur),Men's,24,SAM VANDUSEN,,"6'0""",3,2,,
Pittsburgh (En Sabah Nur),Men's,26,Robert Lincoln,,"5'11""",,1,,
Pittsburgh (En Sabah Nur),Men's,36,DAN WICKENS,,,,,,
Pittsburgh (En Sabah Nur),Men's,38,JONAH WISCH,,,1,3,,
Pittsburgh (En Sabah Nur),Men's,42,MARCUS RANII-DROPCHO,,,11,6,,
Pittsburgh (En Sabah Nur),Men's,43,DANIEL O'CONNOR,,"5'10""",1,,,
Pittsburgh (En Sabah Nur),Men's,48,JIMMY TOWLE,,"5'9""",,,,
Pittsburgh (En Sabah Nur),Men's,77,Dillon Tranquillo,,,,,,
Pittsburgh (En Sabah Nur),Men's,81,Vince Tranquillo,,"6'2""",,,,
Virginia (Hydra),Women's,0,Rukmini Basu,,,,,,
Virginia (Hydra),Women's,0,Susie Frechter,,,,,,
Virginia (Hydra),Women's,0,ALLISON HAHN,,,1,,,
Virginia (Hydra),Women's,0,RALEIGH HEAP,,,,,,
Virginia (Hydra),Women's,0,Mady McLennan,,,,,,
Virginia (Hydra),Women's,0,Samantha Newman,,,,,,
Virginia (Hydra),Women's,0,Jianna Torre,,,,,,
Virginia (Hydra),Women's,1,Emma Price,,"5'5""",5,,,
Virginia (Hydra),Women's,7,JANIE MOCKRISH,,,7,1,,
Virginia (Hydra),Women's,9,LAURA LANDIS,,,2,2,,
Virginia (Hydra),Women's,10,NADA TRAMONTE,,,10,8,,
Virginia (Hydra),Women's,11,KATHRYN HANNUM,,,3,,,
Virginia (Hydra),Women's,12,EMILY LEIVY,,,,,,
Virginia (Hydra),Women's,13,ALIKA JOHNSTON,,,3,19,,
Virginia (Hydra),Women's,14,AMY WEDMORE,,,5,7,,
